"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Sunday"	"1"	306	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Monday"	"2"	389	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Tuesday"	"3"	413	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Wednesday"	"4"	473	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Thursday"	"5"	421	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Friday"	"6"	334	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Saturday"	"7"	316	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Sunday"	"1"	322	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Monday"	"2"	379	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Tuesday"	"3"	322	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Wednesday"	"4"	334	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Thursday"	"5"	316	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Friday"	"6"	427	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Saturday"	"7"	375	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Sunday"	"1"	384	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Monday"	"2"	472	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Tuesday"	"3"	414	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Wednesday"	"4"	348	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Thursday"	"5"	344	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Friday"	"6"	383	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Saturday"	"7"	331	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Sunday"	"1"	343	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Monday"	"2"	403	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Tuesday"	"3"	374	Not Applicable	Not Applicable
